date,portfolio_value,benchmark_value,daily_return
2025-06-02,10062.1418,10120.8657,0.006214
2025-06-03,10103.11,10123.3937,0.004072
2025-06-04,10103.215,10125.9224,1e-05
2025-06-05,10160.8581,10164.8627,0.005705
2025-06-06,10195.9039,10163.851,0.003449
2025-06-09,10218.5108,10163.851,0.002217
2025-06-10,10260.1459,10164.3572,0.004074
2025-06-11,10213.4698,10073.6317,-0.004549
2025-06-12,10116.7301,10034.5904,-0.009472
2025-06-13,10194.5185,10073.6317,0.007689
2025-06-16,10098.2555,10053.8078,-0.009443
2025-06-17,10097.3066,10047.1322,-9.4e-05
2025-06-18,10050.628,9966.2183,-0.004623
2025-06-19,10048.4611,9997.7745,-0.000216
2025-06-20,10065.1519,9975.1186,0.001661
2025-06-23,10175.7617,10069.3837,0.010989
2025-06-24,10125.2533,10057.4493,-0.004964
2025-06-25,10154.3906,10067.7656,0.002878
2025-06-26,10219.8563,10152.2198,0.006447
2025-06-27,10229.2514,10129.9682,0.000919
2025-06-30,10212.692,10110.8527,-0.001619
2025-07-01,10273.8427,10138.5653,0.005988
2025-07-02,10339.9499,10238.6973,0.006435
2025-07-03,10314.1518,10170.931,-0.002495
2025-07-04,10312.5169,10203.8029,-0.000159
2025-07-07,10316.0023,10206.8371,0.000338
2025-07-08,10372.5655,10240.7199,0.005483
2025-07-09,10431.9843,10314.5545,0.005728
2025-07-10,10395.7647,10249.3169,-0.003472
2025-07-11,10447.2579,10263.4769,0.004953
2025-07-14,10446.4334,10319.6112,-7.9e-05
2025-07-15,10428.1837,10163.3456,-0.001747
2025-07-16,10528.5938,10372.7114,0.009629
2025-07-17,10536.7151,10337.817,0.000771
2025-07-18,10512.3615,10347.9311,-0.002311
2025-07-21,10488.1579,10278.143,-0.002302
2025-07-22,10604.449,10368.1601,0.011088
2025-07-23,10643.4464,10390.4117,0.003677
2025-07-24,10667.5391,10412.1571,0.002264
2025-07-25,10657.607,10501.1625,-0.000931
2025-07-28,10663.8208,10544.654,0.000583
2025-07-29,10647.207,10594.2146,-0.001558
2025-07-30,10632.5414,10618.9941,-0.001377
2025-07-31,10453.8611,10298.8767,-0.016805
2025-08-01,10515.6879,10419.7425,0.005914
2025-08-04,10522.6754,10391.4226,0.000664
2025-08-05,10548.371,10421.7658,0.002442
2025-08-06,10546.3261,10440.9832,-0.000194
2025-08-07,10574.1601,10473.3489,0.002639
2025-08-08,10568.2846,10537.5741,-0.000556
2025-08-11,10650.0381,10534.5399,0.007736
2025-08-12,10685.0628,10550.2169,0.003289
2025-08-13,10676.4689,10605.8458,-0.000804
2025-08-14,10729.249,10574.4918,0.004944
2025-08-15,10751.52,10592.6975,0.002076
2025-08-18,10723.3087,10592.6975,-0.002624
2025-08-19,10719.6505,10531.5057,-0.000341
2025-08-20,10738.1348,10576.5143,0.001724
2025-08-21,10890.6199,10633.1541,0.0142
2025-08-22,10832.653,10624.0516,-0.005323
2025-08-25,10892.8592,10600.2829,0.005558
2025-08-26,10884.1071,10688.2775,-0.000803
2025-08-27,10910.5556,10654.9002,0.00243
2025-08-28,10836.0673,10578.0314,-0.006827
2025-08-29,10858.7176,10604.8342,0.00209
2025-09-01,10736.5047,10481.9459,-0.011255
2025-09-02,10812.8701,10558.3085,0.007113
2025-09-03,10849.0206,10645.2915,0.003343
2025-09-04,10854.2439,10574.4918,0.000481
2025-09-05,10893.7924,10639.7286,0.003644
2025-09-08,10907.0158,10643.269,0.001214
2025-09-09,10976.9257,10700.9204,0.00641
2025-09-10,11030.6518,10765.1456,0.004894
2025-09-11,10985.3666,10771.2147,-0.004105
2025-09-12,11090.6179,10785.3747,0.009581
2025-09-15,11027.4429,10694.8513,-0.005696
2025-09-16,11018.8039,10687.7713,-0.000783
2025-09-17,11153.371,10808.1317,0.012212
2025-09-18,11223.7094,10818.7512,0.006306
2025-09-19,11269.9784,10840.4974,0.004122
2025-09-22,11280.6479,10852.1286,0.000947
