model,horizon,mean_ic,std_ic,icir,hit_rate,n_obs
mean_reversion,5,0.297,0.1422,2.088,1.0,7
mean_reversion,21,0.1079,0.1351,0.799,0.833,6
mean_reversion,63,0.2439,0.0494,4.939,1.0,4
momentum,5,-0.0302,0.3175,-0.095,0.429,7
momentum,21,0.0089,0.1284,0.069,0.667,6
momentum,63,-0.1201,0.0343,-3.502,0.0,4
vol_timing,5,-0.0205,0.1709,-0.12,0.429,7
vol_timing,21,0.0202,0.1366,0.148,0.5,6
vol_timing,63,-0.0556,0.1425,-0.39,0.5,4
ml_model,5,-0.0731,0.0996,-0.734,0.286,7
ml_model,21,-0.1217,0.1092,-1.114,0.167,6
ml_model,63,-0.0822,0.0239,-3.444,0.0,4
sector_momentum,5,0.1928,,0.0,1.0,1
sector_momentum,21,,,,,0
sector_momentum,63,,,,,0
ml_alpha,5,-0.0706,0.0577,-1.224,0.0,7
ml_alpha,21,-0.0603,0.0559,-1.079,0.167,6
ml_alpha,63,-0.0356,0.0445,-0.801,0.25,4
