date,portfolio_value,benchmark_value,daily_return
2023-01-23,9985.4082,9982.9196,-0.001459
2023-01-24,9927.6384,9904.2395,-0.005785
2023-01-25,10021.6175,10019.6001,0.009466
2023-01-26,10079.9147,10109.4805,0.005817
2023-01-27,10035.4514,10060.4804,-0.004411
2023-01-30,10063.8812,10054.6004,0.002833
2023-01-31,10111.6242,10045.6399,0.004744
2023-02-01,10349.7067,10283.9222,0.023545
2023-02-02,10348.3177,10339.9229,-0.000134
2023-02-03,10234.1714,10283.9222,-0.01103
2023-02-06,10271.9028,10308.002,0.003687
2023-02-07,10266.1315,10294.0021,-0.000562
2023-02-08,10303.8155,10304.3619,0.003671
2023-02-09,10211.0447,10260.4022,-0.009004
2023-02-10,10266.9159,10324.8025,0.005472
2023-02-13,10261.026,10284.2021,-0.000574
2023-02-14,10341.9827,10370.4424,0.00789
2023-02-15,10326.7279,10353.643,-0.001475
2023-02-16,10223.2834,10238.5622,-0.010017
2023-02-17,10235.1748,10253.9614,0.001163
2023-02-20,10118.2697,10158.2009,-0.011422
2023-02-21,10107.7799,10152.8806,-0.001037
2023-02-22,10134.8173,10143.3614,0.002675
2023-02-23,10008.6549,10095.4807,-0.012448
2023-02-24,10070.6618,10151.4813,0.006195
2023-02-27,10043.5471,10114.2412,-0.002692
2023-02-28,10013.0682,10013.4402,-0.003035
2023-03-01,10049.1472,10058.8002,0.003603
2023-03-02,10203.301,10224.2814,0.01534
2023-03-03,10239.6045,10268.8019,0.003558
2023-03-06,10155.3579,10202.7213,-0.008228
2023-03-07,10171.3198,10185.641,0.001572
2023-03-08,10148.7433,10188.7214,-0.00222
2023-03-09,9967.7074,9970.8797,-0.017838
2023-03-10,9761.7719,9740.1575,-0.02066
2023-03-13,9923.6685,9879.0393,0.016585
2023-03-14,9738.8285,9786.3582,-0.018626
2023-03-15,9886.772,9921.8796,0.015191
2023-03-16,9775.127,9845.999,-0.011292
2023-03-17,9814.9913,9851.0384,0.004078
2023-03-20,9956.4215,9927.7596,0.01441
2023-03-21,9950.3899,9946.7989,-0.000606
2023-03-22,9955.1903,9863.9189,0.000482
2023-03-23,9886.3893,9837.3183,-0.006911
2023-03-24,9951.4817,9919.6386,0.006584
2023-03-27,9928.4402,9870.9183,-0.002315
2023-03-28,10080.1459,9968.36,0.01528
2023-03-29,10191.2099,10018.7595,0.011018
2023-03-30,10306.7021,10133.0006,0.011333
2023-03-31,10304.2223,10156.2409,-0.000241
2023-04-03,10254.4955,10099.4007,-0.004826
2023-04-04,10171.4116,10078.96,-0.008102
2023-04-05,10203.0427,10085.9605,0.00311
2023-04-06,10213.9618,10085.9605,0.00107
2023-04-10,10256.1449,10149.5213,0.00413
2023-04-11,10223.1282,10108.3612,-0.003219
2023-04-12,10272.4513,10096.0403,0.004825
2023-04-13,10325.5441,10168.8415,0.005168
2023-04-14,10365.4262,10215.8817,0.003862
2023-04-17,10382.3233,10237.1619,0.00163
2023-04-18,10341.4424,10220.3614,-0.003938
2023-04-19,10287.7743,10188.7214,-0.00519
2023-04-20,10286.0351,10173.0414,-0.000169
2023-04-21,10247.657,10140.0011,-0.003731
2023-04-24,10181.2794,10120.9607,-0.006477
2023-04-25,10117.9189,10014.2797,-0.006223
2023-04-26,10192.1032,10066.3604,0.007332
2023-04-27,10290.3032,10159.3213,0.009635
2023-04-28,10264.3003,10159.3213,-0.002527
2023-05-01,10148.9992,10063.5608,-0.011233
2023-05-02,10162.8705,10071.4009,0.001367
2023-05-03,10137.2605,10004.1999,-0.00252
2023-05-04,10311.1974,10136.0811,0.017158
2023-05-05,10357.757,10169.4012,0.004515
2023-05-08,10351.2083,10204.6814,-0.000632
2023-05-09,10329.375,10189.561,-0.002109
2023-05-10,10302.9816,10221.202,-0.002555
2023-05-11,10310.8394,10253.1218,0.000763
2023-05-12,10381.6674,10283.6424,0.006869
2023-05-15,10366.2128,10264.602,-0.001489
2023-05-16,10434.6987,10292.8817,0.006607
2023-05-17,10581.1308,10442.403,0.014033
2023-05-18,10591.9315,10434.8428,0.001021
2023-05-19,10630.8874,10476.2839,0.003678
2023-05-22,10581.1594,10446.6028,-0.004678
2023-05-23,10419.1315,10289.2426,-0.015313
2023-05-24,10458.344,10333.4821,0.003764
2023-05-25,10622.7943,10480.2039,0.015724
2023-05-26,10644.3834,10514.3635,0.002032
2023-05-29,10601.3524,10467.8831,-0.004043
2023-05-30,10506.6314,10407.1228,-0.008935
2023-05-31,10590.8244,10461.4433,0.008013
2023-06-01,10738.7322,10649.0454,0.013966
2023-06-02,10719.9235,10679.8448,-0.001751
2023-06-05,10765.9657,10699.7257,0.004295
2023-06-06,10724.9888,10679.2851,-0.003806
2023-06-07,10719.7023,10623.5653,-0.000493
2023-06-08,10754.517,10675.6449,0.003248
2023-06-09,10867.7062,10705.3259,0.010525
2023-06-12,10950.2216,10805.846,0.007593
2023-06-13,10976.6995,10805.5661,0.002418
2023-06-14,10981.4073,10765.5264,0.000429
2023-06-15,11024.8571,10810.0458,0.003957
2023-06-16,10960.0095,10746.2062,-0.005882
2023-06-19,10898.5149,10695.245,-0.005611
2023-06-20,10825.1686,10641.4852,-0.00673
2023-06-21,10804.5547,10615.7242,-0.001904
2023-06-22,10732.45,10607.0446,-0.006674
2023-06-23,10719.3593,10582.9649,-0.00122
2023-06-26,10725.8896,10572.8839,0.000609
2023-06-27,10838.3594,10677.8847,0.010486
2023-06-28,10852.9839,10715.4058,0.001349
2023-06-29,10965.1171,10808.3667,0.010332
2023-06-30,10982.2716,10835.2461,0.001564
2023-07-03,10988.9317,10848.1266,0.000606
2023-07-04,10925.2641,10838.0467,-0.005794
2023-07-05,10685.9637,10660.2447,-0.021903
2023-07-06,10719.5195,10659.9648,0.00314
2023-07-07,10739.4989,10618.5248,0.001864
2023-07-10,10798.3185,10659.9648,0.005477
2023-07-11,10906.9187,10706.4453,0.010057
2023-07-12,10973.9711,10712.6052,0.006148
2023-07-13,10947.3064,10709.8056,-0.00243
2023-07-14,10976.7342,10699.165,0.002688
2023-07-17,11032.355,10757.1256,0.005067
2023-07-18,11121.6584,10849.247,0.008095
2023-07-19,11060.224,10860.1665,-0.005524
2023-07-20,11071.2583,10878.0864,0.000998
2023-07-21,11095.969,10918.9667,0.002232
2023-07-24,11142.9906,10975.5281,0.004238
2023-07-25,11090.3258,10932.9677,-0.004726
2023-07-26,11189.4888,11088.0881,0.008941
2023-07-27,11220.4184,11056.1682,0.002764
2023-07-28,11271.3289,11061.7684,0.004537
2023-07-31,11232.8726,11051.6885,-0.003412
2023-08-01,11009.7719,10937.4474,-0.019861
2023-08-02,10964.873,10881.1669,-0.004078
2023-08-03,10995.9,10864.3663,0.00283
2023-08-04,10983.6988,10839.7269,-0.00111
2023-08-07,10957.1262,10810.6066,-0.002419
2023-08-08,10941.0153,10803.0464,-0.00147
2023-08-09,10990.9076,10858.4863,0.00456
2023-08-10,10901.6168,10785.4064,-0.008124
2023-08-11,10977.1929,10852.8861,0.006933
2023-08-14,10850.9749,10780.3659,-0.011498
2023-08-15,10818.4066,10758.2461,-0.003001
2023-08-16,10755.56,10685.7248,-0.005809
2023-08-17,10707.0884,10604.8048,-0.004507
2023-08-18,10768.3639,10609.8442,0.005723
2023-08-21,10839.1646,10712.3253,0.006575
2023-08-22,10925.7512,10778.126,0.007988
2023-08-23,10840.3788,10740.8859,-0.007814
2023-08-24,10855.6622,10747.8853,0.00141
2023-08-25,10966.7929,10825.446,0.010237
2023-08-28,11097.5334,10918.6868,0.011921
2023-08-29,11100.9054,10914.2071,0.000304
2023-08-30,11159.4738,10996.8073,0.005276
2023-08-31,11204.5395,11046.9279,0.004038
2023-09-01,11202.8474,11046.9279,-0.000151
2023-09-04,11220.9746,11091.4484,0.001618
2023-09-05,11145.7775,10998.7673,-0.006701
2023-09-06,11123.3913,10984.7674,-0.002008
2023-09-07,11129.5381,11009.6878,0.000553
2023-09-08,11195.5256,11007.7278,0.005929
2023-09-11,11173.54,11017.248,-0.001964
2023-09-12,11172.2762,11011.0881,-0.000113
2023-09-13,11301.3729,11150.2486,0.011555
2023-09-14,11257.0579,11097.3284,-0.003921
2023-09-15,11165.4326,11048.6081,-0.008139
2023-09-18,11109.7457,10996.5274,-0.004987
2023-09-19,11145.4023,11030.4083,0.003209
2023-09-20,10942.3077,10855.1271,-0.018222
2023-09-21,10970.7416,10848.1266,0.002599
2023-09-22,10954.5884,10843.0861,-0.001472
2023-09-25,10827.372,10752.6459,-0.011613
2023-09-26,10823.3655,10779.8062,-0.00037
2023-09-27,10881.8753,10803.3263,0.005406
2023-09-28,10902.8898,10819.2862,0.001931
2023-09-29,10841.7429,10807.5261,-0.005608
2023-10-02,10675.1095,10671.1652,-0.01537
2023-10-03,10658.0413,10638.6846,-0.001599
2023-10-04,10664.355,10642.8845,0.000592
2023-10-05,10787.9516,10705.045,0.01159
2023-10-06,10787.8324,10774.206,-1.1e-05
2023-10-09,10966.5931,10921.7673,0.016571
2023-10-10,10970.415,10874.7271,0.000349
2023-10-11,10978.0734,10964.8875,0.000698
2023-10-12,10885.8188,10898.8069,-0.008404
2023-10-13,10934.7258,10947.5272,0.004493
2023-10-16,10927.4833,10924.5669,-0.000662
2023-10-17,10823.2033,10861.8466,-0.009543
2023-10-18,10757.758,10738.3662,-0.006047
2023-10-19,10566.2544,10549.6437,-0.017801
2023-10-20,10557.2338,10510.4435,-0.000854
2023-10-23,10667.9869,10566.724,0.010491
2023-10-24,10561.3884,10520.5245,-0.009992
2023-10-25,10443.0136,10440.443,-0.011208
2023-10-26,10362.6716,10349.1622,-0.007693
2023-10-27,10427.3492,10359.2431,0.006241
2023-10-30,10523.4812,10446.0431,0.009219
2023-10-31,10631.6437,10567.0039,0.010278
2023-11-01,10831.8739,10724.926,0.018833
2023-11-02,10909.8702,10780.086,0.007201
2023-11-03,10866.6375,10745.9253,-0.003963
2023-11-06,10907.4997,10815.9259,0.00376
2023-11-07,10895.3107,10773.6463,-0.001117
2023-11-08,10976.5903,10820.6865,0.00746
2023-11-09,10969.9985,10798.5667,-0.000601
2023-11-10,11054.0814,10869.9665,0.007665
2023-11-13,11241.7337,10944.7277,0.016976
2023-11-14,11313.2968,10978.8874,0.006366
2023-11-15,11266.2453,10916.447,-0.004159
2023-11-16,11349.2533,10963.4872,0.007368
2023-11-17,11373.0564,10963.4872,0.002097
2023-11-20,11327.9987,10971.0473,-0.003962
2023-11-21,11403.9447,11064.0083,0.006704
2023-11-22,11406.5389,11058.1283,0.000227
2023-11-23,11409.5816,11037.6876,0.000267
2023-11-24,11377.3918,11021.4478,-0.002821
2023-11-27,11353.777,10993.448,-0.002076
2023-11-28,11418.1537,11011.3679,0.00567
