earnings_date,reported_eps,consensus_eps,surprise_pct,ticker_original,ticker_earnings,reported_revenue,consensus_revenue,revenue_surprise_pct,ticker
2025-09-30,1.85,1.76993,4.52,APC.DE,AAPL,,,,APC.DE
2025-12-31,2.84,2.6708,6.34,APC.DE,AAPL,,,,APC.DE
2026-03-31,2.01,1.94275,3.46,APC.DE,AAPL,,,,APC.DE
2026-06-30,2.02,1.89243,6.74,APC.DE,AAPL,,,,APC.DE
2025-09-30,4.13,3.66355,12.73,MSF.DE,MSFT,,,,MSF.DE
2025-12-31,4.14,3.91702,5.69,MSF.DE,MSFT,,,,MSF.DE
2026-03-31,4.27,4.07062,4.9,MSF.DE,MSFT,,,,MSF.DE
2026-06-30,4.74,4.23939,11.81,MSF.DE,MSFT,,,,MSF.DE
2025-09-30,1.95,1.55757,25.2,AMZN,AMZN,,,,AMZN
2025-12-31,1.95,1.95962,-0.49,AMZN,AMZN,,,,AMZN
2026-03-31,2.78,1.65303,68.18,AMZN,AMZN,,,,AMZN
2026-06-30,5.75,1.8253,215.02,AMZN,AMZN,,,,AMZN
2025-07-31,1.05,1.00867,4.1,NVDA,NVDA,,,,NVDA
2025-10-31,1.3,1.25647,3.46,NVDA,NVDA,,,,NVDA
2026-01-31,1.62,1.53812,5.32,NVDA,NVDA,,,,NVDA
2026-04-30,1.87,1.77191,5.54,NVDA,NVDA,,,,NVDA
2025-09-30,2.87,2.26199,26.88,GOOGL,GOOGL,,,,GOOGL
2025-12-31,2.82,2.63521,7.01,GOOGL,GOOGL,,,,GOOGL
2026-03-31,5.11,2.66714,91.59,GOOGL,GOOGL,,,,GOOGL
2026-06-30,9.11,2.89914,214.23,GOOGL,GOOGL,,,,GOOGL
2025-09-30,1.05,6.70696,-84.34,META,META,,,,META
2025-12-31,8.88,8.22253,8.0,META,META,,,,META
2026-03-31,10.44,6.65872,56.79,META,META,,,,META
2026-06-30,6.18,7.22143,-14.42,META,META,,,,META
2025-09-30,0.5,0.55885,-10.53,TSLA,TSLA,,,,TSLA
2025-12-31,0.5,0.45061,10.96,TSLA,TSLA,,,,TSLA
2026-03-31,0.41,0.34999,17.15,TSLA,TSLA,,,,TSLA
2026-06-30,0.33,0.5353,-38.35,TSLA,TSLA,,,,TSLA
2025-07-31,2.91,2.77924,4.7,CRM,CRM,,,,CRM
2025-10-31,3.25,2.8622,13.55,CRM,CRM,,,,CRM
2026-01-31,3.81,3.05166,24.85,CRM,CRM,,,,CRM
2026-04-30,3.88,3.12729,24.07,CRM,CRM,,,,CRM
2025-08-31,5.31,5.18163,2.48,ADBE,ADBE,,,,ADBE
2025-11-30,5.5,5.39763,1.9,ADBE,ADBE,,,,ADBE
2026-02-28,6.06,5.87314,3.18,ADBE,ADBE,,,,ADBE
2026-05-31,5.96,5.81474,2.5,ADBE,ADBE,,,,ADBE
2025-09-30,0.587,0.69707,-15.79,NFLX,NFLX,,,,NFLX
2025-12-31,0.56,0.55208,1.43,NFLX,NFLX,,,,NFLX
2026-03-31,1.23,1.24746,-1.4,NFLX,NFLX,,,,NFLX
2026-06-30,0.8,0.78858,1.45,NFLX,NFLX,,,,NFLX
2025-09-30,4.13,3.66355,12.73,MSFT,MSFT,,,,MSFT
2025-12-31,4.14,3.91702,5.69,MSFT,MSFT,,,,MSFT
2026-03-31,4.27,4.07062,4.9,MSFT,MSFT,,,,MSFT
2026-06-30,4.74,4.23939,11.81,MSFT,MSFT,,,,MSFT
2025-06-30,-0.14,-0.11833,-18.31,ATAI,ATAI,,,,ATAI
2025-09-30,-0.28,-0.12429,-125.28,ATAI,ATAI,,,,ATAI
2025-12-31,-1.73,-0.11222,-1441.61,ATAI,ATAI,,,,ATAI
2026-03-31,,-0.11193,,ATAI,ATAI,,,,ATAI
2025-09-30,1.2,1.171,2.48,AMD,AMD,,,,AMD
2025-12-31,1.53,1.31917,15.98,AMD,AMD,,,,AMD
2026-03-31,1.37,1.29468,5.82,AMD,AMD,,,,AMD
2026-06-30,1.66,1.60841,3.21,AMD,AMD,,,,AMD
2025-09-30,0.23,0.00705,3162.41,INTC,INTC,,,,INTC
2025-12-31,0.15,0.08264,81.51,INTC,INTC,,,,INTC
2026-03-31,0.29,0.01313,2108.68,INTC,INTC,,,,INTC
2026-06-30,0.42,0.21819,92.49,INTC,INTC,,,,INTC
2025-09-30,3.0,2.87578,4.32,QCOM,QCOM,,,,QCOM
2025-12-31,3.5,3.40235,2.87,QCOM,QCOM,,,,QCOM
2026-03-31,2.65,2.56433,3.34,QCOM,QCOM,,,,QCOM
2026-06-30,2.21,2.22079,-0.49,QCOM,QCOM,,,,QCOM
2025-07-31,2.48,2.35905,5.13,AMAT,AMAT,,,,AMAT
2025-10-31,2.17,2.09366,3.65,AMAT,AMAT,,,,AMAT
2026-01-31,2.38,2.206,7.89,AMAT,AMAT,,,,AMAT
2026-04-30,2.86,2.68545,6.5,AMAT,AMAT,,,,AMAT
2025-08-31,3.03,2.86023,5.94,MU,MU,,,,MU
2025-11-30,4.78,3.96409,20.58,MU,MU,,,,MU
2026-02-28,12.2,9.15866,33.21,MU,MU,,,,MU
2026-05-31,25.11,20.68603,21.39,MU,MU,,,,MU
2025-09-30,1.48,1.4859,-0.4,TXN,TXN,,,,TXN
2025-12-31,1.27,1.30773,-2.89,TXN,TXN,,,,TXN
2026-03-31,1.68,1.36856,22.76,TXN,TXN,,,,TXN
2026-06-30,2.14,1.937,10.48,TXN,TXN,,,,TXN
2025-08-31,1.47,1.47912,-0.62,ORCL,ORCL,,,,ORCL
2025-11-30,2.26,1.6372,38.04,ORCL,ORCL,,,,ORCL
2026-02-28,1.79,1.69362,5.69,ORCL,ORCL,,,,ORCL
2026-05-31,2.11,1.96241,7.52,ORCL,ORCL,,,,ORCL
2025-09-30,2.92,2.62516,11.23,TSM,TSM,,,,TSM
2025-12-31,3.14,2.97556,5.53,TSM,TSM,,,,TSM
2026-03-31,3.49,3.33393,4.68,TSM,TSM,,,,TSM
2026-06-30,4.31,3.88658,10.89,TSM,TSM,,,,TSM
2025-09-30,0.964,0.85308,13.0,NOW,NOW,,,,NOW
2025-12-31,0.92,0.88508,3.95,NOW,NOW,,,,NOW
2026-03-31,0.97,0.96619,0.39,NOW,NOW,,,,NOW
2026-06-30,0.9,0.85672,5.05,NOW,NOW,,,,NOW
2025-07-31,0.35,0.26646,31.35,SNOW,SNOW,,,,SNOW
2025-10-31,0.35,0.31114,12.49,SNOW,SNOW,,,,SNOW
2026-01-31,0.32,0.27169,17.78,SNOW,SNOW,,,,SNOW
2026-04-30,0.39,0.31981,21.95,SNOW,SNOW,,,,SNOW
2025-09-30,3.11,0.68627,353.17,UBER,UBER,,,,UBER
2025-12-31,0.14,0.775,-81.94,UBER,UBER,,,,UBER
2026-03-31,0.13,0.71175,-81.74,UBER,UBER,,,,UBER
2026-06-30,1.17,0.83443,40.22,UBER,UBER,,,,UBER
2025-09-30,1.34,1.20568,11.14,PYPL,PYPL,,,,PYPL
2025-12-31,1.23,1.2866,-4.4,PYPL,PYPL,,,,PYPL
2026-03-31,1.34,1.26902,5.59,PYPL,PYPL,,,,PYPL
2026-06-30,1.38,1.2774,8.03,PYPL,PYPL,,,,PYPL
2025-09-30,3.28,2.13499,53.63,SPOT,SPOT,,,,SPOT
2025-12-31,4.43,2.84267,55.84,SPOT,SPOT,,,,SPOT
2026-03-31,3.45,2.92387,17.99,SPOT,SPOT,,,,SPOT
2026-06-30,2.61,2.79603,-6.65,SPOT,SPOT,,,,SPOT
2025-09-30,0.34,0.33794,0.61,SHOP,SHOP,,,,SHOP
2025-12-31,0.48,0.50907,-5.71,SHOP,SHOP,,,,SHOP
2026-03-31,0.36,0.33162,8.56,SHOP,SHOP,,,,SHOP
2026-06-30,0.42,0.3998,5.05,SHOP,SHOP,,,,SHOP
2025-09-30,2.98,2.97176,0.28,V,V,,,,V
2025-12-31,3.17,3.14227,0.88,V,V,,,,V
2026-03-31,3.31,3.09955,6.79,V,V,,,,V
2026-06-30,3.32,3.23073,2.76,V,V,,,,V
2025-09-30,4.38,4.31425,1.52,MA,MA,,,,MA
2025-12-31,4.76,4.24031,12.26,MA,MA,,,,MA
2026-03-31,4.6,4.41328,4.23,MA,MA,,,,MA
2026-06-30,5.04,4.77606,5.53,MA,MA,,,,MA
2025-09-30,5.07,4.87467,4.01,JPM,JPM,,,,JPM
2025-12-31,4.63,4.81831,-3.91,JPM,JPM,,,,JPM
