ticker,earnings_date,surprise_pct,revenue_surprise_pct,same_day_return,predicted_return,reaction_gap,underreaction_flag,rev_beat,volume_confirmed,pead_setup_quality,direction,entry_date,sector,drift_window_days,drift_21d,drift_63d,outcome_label_correct,screened_at,regime_risk,regime_growth,regime_composite
INTC,2025-09-30,3121.29,,-2.697,1.563,4.26,True,False,False,Medium,bullish,2025-10-02,Technology,45,7.212,5.576,True,2026-05-08T11:14:46.814498,,,
BA,2025-12-31,2447.98,,-0.632,-0.323,0.309,False,False,False,Low,bullish,2026-01-05,Industrials,30,3.428,-7.947,True,2026-05-08T11:14:56.391496,,,
INTC,2026-03-31,2108.68,,7.138,1.057,-6.081,False,False,True,Low,bullish,2026-04-02,Technology,45,90.115,,True,2026-05-08T11:14:46.997071,,,
UBER,2025-09-30,353.17,,-1.607,-1.429,0.178,False,False,False,Low,bullish,2025-10-02,Technology,45,-0.114,-14.232,False,2026-05-08T11:14:48.761170,,,
BA,2025-09-30,-214.44,,-0.576,0.742,1.318,False,,False,Low,bearish,2025-10-02,Industrials,30,-7.547,4.756,True,2026-05-08T11:14:56.293826,,,
INTC,2025-06-30,-1280.64,,-1.278,-0.638,0.64,False,,False,Low,bearish,2025-07-02,Technology,45,-11.746,64.26,True,2026-05-08T11:14:46.726043,,,
ATAI,2025-12-31,-1441.61,,2.764,2.916,0.152,False,,False,Low,bearish,2026-01-05,Healthcare,30,-6.718,-2.067,True,2026-05-08T11:14:46.299632,,,
SPOT,2025-09-30,53.63,,-4.183,-0.675,3.508,True,False,False,Medium,bullish,2025-10-02,Communication,30,-7.349,-18.705,False,2026-05-08T11:29:49.658042,,,
PFE,2025-06-30,35.94,,0.207,3.222,3.015,True,False,False,Medium,bullish,2025-07-02,Healthcare,30,-5.627,9.319,False,2026-05-08T11:29:52.146159,,,
PYPL,2025-09-30,11.14,,-3.76,-1.053,2.707,True,False,False,Medium,bullish,2025-10-02,Financials,21,0.493,-15.459,True,2026-05-08T11:29:49.408543,,,
TSLA,2025-12-31,10.96,,-1.036,1.382,2.418,True,False,False,Medium,bullish,2026-01-05,Technology,45,-10.109,-23.251,False,2026-05-08T11:29:46.630441,,,
GS,2025-09-30,10.49,,-0.966,2.075,3.041,True,False,False,Medium,bullish,2025-10-02,Financials,21,1.282,17.898,True,2026-05-08T11:29:50.856634,,,
CAT,2025-12-31,9.51,,-0.783,2.042,2.825,True,False,False,Medium,bullish,2026-01-05,Industrials,30,12.553,17.86,True,2026-05-08T11:29:55.496743,,,
META,2025-12-31,8.0,,-0.88,1.637,2.517,True,False,False,Medium,bullish,2026-01-05,Communication,30,1.548,-12.636,True,2026-05-08T11:29:46.367012,,,
AMAT,2025-07-31,5.13,,-4.926,-0.48,4.446,True,False,False,Medium,bullish,2025-08-04,Technology,45,-14.288,27.868,False,2026-05-08T11:29:47.710572,,,
NKE,2025-08-31,84.49,,-3.482,-2.999,0.483,False,False,False,Low,bullish,2025-09-04,Consumer Staples,21,-4.539,-12.317,False,2026-05-08T11:29:54.634171,,,
INTC,2025-12-31,81.51,,-1.072,,,False,False,False,Low,bullish,2026-01-05,Technology,45,23.444,34.392,True,2026-05-08T11:29:47.554741,,,
SPOT,2025-12-31,55.84,,0.699,-0.682,-1.381,False,False,False,Low,bullish,2026-01-05,Communication,30,-25.76,-18.573,False,2026-05-08T11:29:49.731046,,,
NKE,2025-11-30,41.9,,1.822,-0.205,-2.027,False,False,False,Low,bullish,2025-12-03,Consumer Staples,21,-1.706,-12.584,False,2026-05-08T11:29:54.711871,,,
ORCL,2025-11-30,38.04,,-0.5,-0.219,0.281,False,False,False,Low,bullish,2025-12-03,Technology,45,-7.288,-26.171,False,2026-05-08T11:29:48.588800,,,
PFE,2025-09-30,37.43,,6.834,3.373,-3.461,False,False,False,Low,bullish,2025-10-02,Healthcare,30,-8.973,-5.379,False,2026-05-08T11:29:52.216243,,,
MS,2025-09-30,32.63,,-1.365,-0.733,0.632,False,False,False,Low,bullish,2025-10-02,Financials,21,6.245,17.841,True,2026-05-08T11:29:51.207887,,,
SNOW,2025-07-31,31.35,,1.462,1.079,-0.383,False,False,False,Low,bullish,2025-08-04,Technology,45,10.001,31.85,True,2026-05-08T11:29:48.929204,,,
GOOGL,2025-09-30,26.88,,-0.389,0.379,0.768,False,False,False,Low,bullish,2025-10-02,Communication,30,14.449,28.355,True,2026-05-08T11:29:45.926257,,,
AMZN,2025-06-30,26.13,,-1.751,-0.263,1.488,False,False,False,Low,bullish,2025-07-02,Technology,45,-2.351,0.323,False,2026-05-08T11:29:45.488605,,,
AMZN,2025-09-30,25.2,,-1.17,-0.33,0.84,False,False,False,Low,bullish,2025-10-02,Technology,45,9.806,1.839,True,2026-05-08T11:29:45.567503,,,
CRM,2026-01-31,24.85,,-0.697,-0.074,0.623,False,False,False,Low,bullish,2026-02-04,Technology,45,1.339,-8.923,True,2026-05-08T11:29:46.890947,,,
SHOP,2025-06-30,22.15,,1.496,,,False,False,False,Low,bullish,2025-07-02,Technology,45,3.337,30.322,True,2026-05-08T11:29:49.891543,,,
META,2025-06-30,20.96,,0.608,2.216,1.608,False,False,False,Low,bullish,2025-07-02,Communication,30,5.107,0.596,True,2026-05-08T11:29:46.203872,,,
RTX,2025-09-30,20.64,,2.261,2.943,0.682,False,False,False,Low,bullish,2025-10-02,Industrials,30,7.124,12.819,True,2026-05-08T11:29:56.065362,,,
MU,2025-11-30,20.58,,1.683,1.327,-0.356,False,False,False,Low,bullish,2025-12-03,Technology,45,33.36,58.204,True,2026-05-08T11:29:48.114073,,,
GS,2025-12-31,20.22,,-0.613,-0.908,-0.295,False,False,False,Low,bullish,2026-01-05,Financials,21,-3.705,-8.408,False,2026-05-08T11:29:50.929577,,,
MU,2025-05-31,19.75,,3.938,1.31,-2.628,False,False,False,Low,bullish,2025-06-04,Technology,45,16.255,20.413,True,2026-05-08T11:29:47.949486,,,
LLY,2025-09-30,19.15,,5.023,2.902,-2.121,False,False,False,Low,bullish,2025-10-02,Healthcare,30,5.246,31.969,True,2026-05-08T11:29:52.512923,,,
SNOW,2026-01-31,17.78,,-1.048,0.256,1.304,False,False,False,Low,bullish,2026-02-04,Technology,45,9.19,-15.458,True,2026-05-08T11:29:49.071437,,,
PFE,2025-12-31,16.18,,-0.36,1.22,1.58,False,False,False,Low,bullish,2026-01-05,Healthcare,30,8.179,9.471,True,2026-05-08T11:29:52.299245,,,
AMD,2025-12-31,15.98,,-0.548,0.655,1.203,False,False,False,Low,bullish,2026-01-05,Technology,45,-9.449,0.204,False,2026-05-08T11:29:47.333565,,,
GE,2025-06-30,15.97,,1.132,2.764,1.632,False,False,False,Low,bullish,2025-07-02,Industrials,30,10.224,23.264,True,2026-05-08T11:29:56.383217,,,
GILD,2025-09-30,15.68,,-1.438,-0.894,0.544,False,False,False,Low,bullish,2025-10-02,Healthcare,30,8.348,10.712,True,2026-05-08T11:29:53.602105,,,
NOW,2025-06-30,14.63,,0.554,-0.746,-1.3,False,False,False,Low,bullish,2025-07-02,Technology,45,-9.447,-9.639,False,2026-05-08T11:29:48.764108,,,
AMGN,2025-06-30,14.08,,0.751,1.198,0.447,False,False,False,Low,bullish,2025-07-02,Healthcare,30,0.01,1.372,True,2026-05-08T11:29:53.188736,,,
CRM,2025-10-31,13.55,,1.465,-0.285,-1.75,False,False,False,Low,bullish,2025-11-04,Technology,45,-2.743,-25.217,False,2026-05-08T11:29:46.808702,,,
NKE,2025-05-31,13.48,,2.293,1.66,-0.633,False,False,False,Low,bullish,2025-06-04,Consumer Staples,21,21.921,20.665,True,2026-05-08T11:29:54.560303,,,
GE,2025-09-30,13.01,,2.449,1.136,-1.313,False,False,False,Low,bullish,2025-10-02,Industrials,30,3.172,7.236,True,2026-05-08T11:29:56.458216,,,
