# LEDGER FORMAT GUIDE
# Date (YYYY-MM-DD) | Action (Deposit/Buy/Sell/Dividend/Fee) | Ticker | Quantity | Price | Total | Notes
# 
# ALLOWED ACTIONS:
#   - Deposit  : Add cash to portfolio (Quantity & Price leave blank)
#   - Buy      : Purchase shares (Total = Quantity × Price)
#   - Sell     : Sell shares (Total = Quantity × Price)
#   - Dividend : Cash received from stocks (Quantity & Price leave blank)
#   - Fee      : Trading/broker fees (Quantity & Price leave blank)
#
# VALID TICKERS: APC.DE, MSF.DE, AMZN, NVDA, GOOGL, META, TSLA, CRM, ADBE, NFLX,
#                SAP.DE, ALV.DE, SIE.DE, BAYN.DE, BMW.DE, DTE.DE, BAS.DE, MBG.DE, ADS.DE, MUV2.DE,
#                DBK.DE, ENR.DE, IFX.DE, VOW3.DE, RWE.DE,
#                V, JPM, UNH, JNJ, PFE, LLY, KO, MCD, WMT, BA, CAT,
#                EUNL.DE, VUSA.DE, EXS1.DE, EXXT.DE, SPPW.DE, ZPRV.DE,
#                ATAI
# CASH is only used for Deposit/Dividend/Fee actions
#
# EXAMPLES:
# 2026-03-26,Deposit,CASH,,,100.0,Initial investment
# 2026-03-27,Buy,APC.DE,5,195.50,977.50,Bought Apple shares
# 2026-03-28,Sell,MSF.DE,2,365.25,730.50,Sold Microsoft shares
# 2026-03-29,Dividend,MSF.DE,,,15.00,Q1 dividend payout
# 2026-03-30,Fee,CASH,,,5.00,Trading fees
#
# === DATA STARTS BELOW ===
Date,Action,Ticker,Quantity,Price,Total,Notes
2026-03-26,Deposit,CASH,,,100.0,Initial investment
2026-03-30,Buy,APC.DE,0.115393,216.65,24.99989345,ohne fee
2026-03-30,Fee,CASH,,,1.0,buy fee
2026-04-08,Buy,MSF.DE,0.077351,323.15,24.99597565,
2026-04-08,Fee,CASH,,,1,
2026-04-08,Buy,AMZ.DE,0.115868,181.24,20.99991632,
2026-04-08,Fee,CASH,,,1,
2026-04-08,Buy,TL0.DE,0.078876,316.95,24.9997482,
2026-04-08,Fee,CASH,,,1,
2026-04-27,Deposit,CASH,,,200,
2026-05-08,Buy,ATAI,14,3.47,48.580000000000005,
2026-05-08,Fee,CASH,,,1,Trading fee
2026-05-13,Buy,1S2.DE,5.0,16.62,83.1,Manual entry sync
2026-05-13,Fee,CASH,,,1.0,Fee for Buy FIG
2026-05-13,Sell,AMZ.DE,0.115868,230.05,26.655433,Manual entry sync
2026-05-13,Fee,CASH,,,1.0,Fee for Sell AMZN
