ticker,earnings_date,surprise_pct,revenue_surprise_pct,same_day_return,predicted_return,reaction_gap,underreaction_flag,rev_beat,volume_confirmed,pead_setup_quality,direction,entry_date,sector,drift_window_days,drift_21d,drift_63d,outcome_label_correct,screened_at
NKE,2026-02-28,24.27,,-1.23,0.952,2.182,True,False,True,High,bullish,2026-03-04,Consumer Staples,21,-24.642,,False,2026-05-08T10:56:08.566216
MRK,2026-03-31,13.15,,1.854,4.297,2.443,True,False,True,High,bullish,2026-04-02,Healthcare,30,-6.42,,False,2026-05-08T10:56:07.443338
TSLA,2025-12-31,10.96,,-1.036,1.382,2.418,True,False,True,High,bullish,2026-01-05,Technology,45,-10.109,-23.251,False,2026-05-08T10:56:02.758890
CAT,2025-12-31,9.51,,-0.783,2.042,2.825,True,False,True,High,bullish,2026-01-05,Industrials,30,12.553,17.86,True,2026-05-08T10:56:09.306575
META,2025-12-31,8.0,,-0.88,1.637,2.517,True,False,True,High,bullish,2026-01-05,Communication,30,1.548,-12.636,True,2026-05-08T10:56:02.538738
BA,2025-12-31,2447.98,,-0.632,-0.323,0.309,False,False,True,Low,bullish,2026-01-05,Industrials,30,3.428,-7.947,True,2026-05-08T10:56:08.935069
INTC,2026-03-31,2108.68,,7.138,1.057,-6.081,False,False,True,Low,bullish,2026-04-02,Technology,45,90.115,,True,2026-05-08T10:56:03.568938
GOOGL,2026-03-31,91.59,,5.141,4.96,-0.181,False,False,False,Low,bullish,2026-04-02,Communication,30,29.577,,True,2026-05-08T10:56:02.412218
INTC,2025-12-31,81.51,,-1.072,0.043,1.115,False,False,True,Low,bullish,2026-01-05,Technology,45,23.444,34.392,True,2026-05-08T10:56:03.476951
BA,2026-03-31,70.26,,5.19,0.628,-4.562,False,False,True,Low,bullish,2026-04-02,Industrials,30,6.282,,True,2026-05-08T10:56:09.025575
AMZN,2026-03-31,68.18,,3.643,2.752,-0.891,False,False,False,Low,bullish,2026-04-02,Technology,45,29.69,,True,2026-05-08T10:56:02.092417
META,2026-03-31,56.79,,6.665,3.818,-2.847,False,False,False,Low,bullish,2026-04-02,Communication,30,6.258,,True,2026-05-08T10:56:02.648640
SPOT,2025-12-31,55.84,,0.699,-0.682,-1.381,False,False,True,Low,bullish,2026-01-05,Communication,30,-25.76,-18.573,False,2026-05-08T10:56:05.020946
NKE,2025-11-30,41.9,,1.822,-0.205,-2.027,False,False,True,Low,bullish,2025-12-03,Consumer Staples,21,-1.706,-12.584,False,2026-05-08T10:56:08.479151
ORCL,2025-11-30,38.04,,-0.5,-0.219,0.281,False,False,True,Low,bullish,2025-12-03,Technology,45,-7.288,-26.171,False,2026-05-08T10:56:04.366923
MU,2026-02-28,33.21,,0.073,1.595,1.522,False,False,True,Low,bullish,2026-03-04,Technology,45,-8.578,,False,2026-05-08T10:56:04.022906
LLY,2026-03-31,25.9,,3.738,4.883,1.145,False,False,True,Low,bullish,2026-04-02,Healthcare,30,3.458,,True,2026-05-08T10:56:07.255358
CRM,2026-01-31,24.85,,-0.697,-0.074,0.623,False,False,True,Low,bullish,2026-02-04,Technology,45,1.339,-8.923,True,2026-05-08T10:56:02.986100
TXN,2026-03-31,22.76,,4.141,4.024,-0.117,False,False,True,Low,bullish,2026-04-02,Technology,45,44.142,,True,2026-05-08T10:56:04.218934
MU,2025-11-30,20.58,,1.683,1.327,-0.356,False,False,True,Low,bullish,2025-12-03,Technology,45,33.36,58.204,True,2026-05-08T10:56:03.903425
GS,2025-12-31,20.22,,-0.613,-0.908,-0.295,False,False,True,Low,bullish,2026-01-05,Financials,21,-3.705,-8.408,False,2026-05-08T10:56:05.958860
CAT,2026-03-31,19.3,,6.147,4.038,-2.109,False,False,True,Low,bullish,2026-04-02,Industrials,30,22.2,,True,2026-05-08T10:56:09.404051
SPOT,2026-03-31,17.99,,2.086,-0.569,-2.655,False,False,False,Low,bullish,2026-04-02,Communication,30,-10.371,,False,2026-05-08T10:56:05.109083
SNOW,2026-01-31,17.78,,-1.048,0.256,1.304,False,False,True,Low,bullish,2026-02-04,Technology,45,9.19,-15.458,True,2026-05-08T10:56:04.582749
TSLA,2026-03-31,17.15,,4.636,2.163,-2.473,False,False,True,Low,bullish,2026-04-02,Technology,45,8.852,,True,2026-05-08T10:56:02.859019
RTX,2026-03-31,16.95,,3.072,2.23,-0.842,False,False,False,Low,bullish,2026-04-02,Industrials,30,-11.88,,False,2026-05-08T10:56:09.663845
GE,2026-03-31,16.31,,3.85,2.951,-0.899,False,False,True,Low,bullish,2026-04-02,Industrials,30,-0.228,,False,2026-05-08T10:56:09.925251
PFE,2025-12-31,16.18,,-0.36,1.22,1.58,False,False,True,Low,bullish,2026-01-05,Healthcare,30,8.179,9.471,True,2026-05-08T10:56:06.996062
AMD,2025-12-31,15.98,,-0.548,0.655,1.203,False,False,True,Low,bullish,2026-01-05,Technology,45,-9.449,0.204,False,2026-05-08T10:56:03.233476
SBUX,2026-03-31,14.51,,3.309,2.186,-1.123,False,False,False,Low,bullish,2026-04-02,Consumer Staples,21,16.156,,True,2026-05-08T10:56:08.688590
MS,2026-03-31,13.66,,3.915,0.623,-3.292,False,False,True,Low,bullish,2026-04-02,Financials,21,13.998,,True,2026-05-08T10:56:06.332473
MA,2025-12-31,12.26,,-1.133,-0.874,0.259,False,False,True,Low,bullish,2026-01-05,Financials,21,-2.501,-12.231,False,2026-05-08T10:56:05.488723
SAP.DE,2025-12-31,12.07,,-3.072,-2.981,0.091,False,False,True,Low,bullish,2026-01-06,Technology,45,-17.248,-28.127,False,2026-05-08T10:56:10.263783
AMGN,2025-12-31,11.94,,-0.42,1.058,1.478,False,False,True,Low,bullish,2026-01-05,Healthcare,30,14.181,6.746,True,2026-05-08T10:56:07.559601
GE,2025-12-31,9.81,,-1.206,-0.624,0.582,False,False,True,Low,bullish,2026-01-05,Industrials,30,-4.927,-10.884,False,2026-05-08T10:56:09.839366
UNH,2026-03-31,9.52,,3.361,1.871,-1.49,False,False,False,Low,bullish,2026-04-02,Healthcare,30,33.719,,True,2026-05-08T10:56:06.776271
MS,2025-12-31,9.41,,-0.866,0.927,1.793,False,False,True,Low,bullish,2026-01-05,Financials,21,-2.931,-9.211,False,2026-05-08T10:56:06.229431
LLY,2025-12-31,9.14,,-0.47,-0.035,0.435,False,False,True,Low,bullish,2026-01-05,Healthcare,30,6.3,-10.453,True,2026-05-08T10:56:07.172636
BAC,2026-03-31,8.78,,3.218,0.362,-2.856,False,False,True,Low,bullish,2026-04-02,Financials,21,5.691,,True,2026-05-08T10:56:05.831962
AMGN,2026-03-31,8.04,,0.817,0.802,-0.015,False,False,True,Low,bullish,2026-04-02,Healthcare,30,-6.924,,False,2026-05-08T10:56:07.641482
AMAT,2026-01-31,7.89,,1.886,0.254,-1.632,False,False,True,Low,bullish,2026-02-04,Technology,45,9.256,44.205,True,2026-05-08T10:56:03.703887
HD,2026-01-31,7.8,,0.942,0.806,-0.136,False,False,True,Low,bullish,2026-02-04,Consumer Staples,21,-7.562,-16.01,False,2026-05-08T10:56:08.176227
JPM,2026-03-31,7.78,,3.661,1.566,-2.095,False,False,True,Low,bullish,2026-04-02,Financials,21,4.964,,True,2026-05-08T10:56:05.665333
AXP,2026-03-31,7.18,,1.677,0.824,-0.853,False,False,False,Low,bullish,2026-04-02,Financials,21,6.34,,True,2026-05-08T10:56:06.616344
GS,2026-03-31,7.06,,4.754,3.127,-1.627,False,False,True,Low,bullish,2026-04-02,Financials,21,4.661,,True,2026-05-08T10:56:06.064111
GOOGL,2025-12-31,7.01,,-0.271,-1.028,-0.757,False,False,True,Low,bullish,2026-01-05,Communication,30,5.213,-3.432,True,2026-05-08T10:56:02.315089
V,2026-03-31,6.79,,0.901,1.44,0.539,False,False,False,Low,bullish,2026-04-02,Financials,21,8.66,,True,2026-05-08T10:56:05.358049
APC.DE,2025-12-31,6.34,,-0.817,-0.517,0.3,False,False,True,Low,bullish,2026-01-06,Technology,45,4.314,-4.698,True,2026-05-08T10:56:01.755014
GILD,2026-03-31,6.3,,2.222,0.22,-2.002,False,False,True,Low,bullish,2026-04-02,Healthcare,30,-5.025,,False,2026-05-08T10:56:07.781102
KO,2026-03-31,5.88,,-0.288,0.136,0.424,False,False,False,Low,bullish,2026-04-02,Consumer Staples,21,1.916,,True,2026-05-08T10:56:07.990460
AMD,2026-03-31,5.82,,3.77,0.539,-3.231,False,False,False,Low,bullish,2026-04-02,Technology,45,57.03,,True,2026-05-08T10:56:03.321928
MSF.DE,2025-12-31,5.69,,-2.492,-1.061,1.431,False,False,True,Low,bullish,2026-01-06,Technology,45,-12.757,-20.984,False,2026-05-08T10:56:01.902590
ORCL,2026-02-28,5.69,,2.648,0.787,-1.861,False,False,True,Low,bullish,2026-03-04,Technology,45,-3.931,,False,2026-05-08T10:56:04.457435
PYPL,2026-03-31,5.59,,1.254,-0.73,-1.984,False,False,False,Low,bullish,2026-04-02,Financials,21,11.138,,True,2026-05-08T10:56:04.909759
HON,2026-03-31,5.55,,1.141,0.726,-0.415,False,False,False,Low,bullish,2026-04-02,Industrials,30,-8.655,,False,2026-05-08T10:56:10.134406
RTX,2025-12-31,5.34,,-0.331,-0.014,0.317,False,False,True,Low,bullish,2026-01-05,Industrials,30,4.504,5.48,True,2026-05-08T10:56:09.576338
NVDA,2026-01-31,5.32,,-2.888,-0.984,1.904,False,False,True,Low,bullish,2026-02-04,Technology,45,2.084,19.319,True,2026-05-08T10:56:02.218153
MSF.DE,2026-03-31,5.22,,-0.047,-1.137,-1.09,False,False,False,Low,bullish,2026-04-02,Technology,45,9.605,,True,2026-05-08T10:56:01.996521
COST,2025-11-30,5.21,,-0.178,-0.065,0.113,False,False,True,Low,bullish,2025-12-03,Consumer Staples,21,-5.044,8.371,False,2026-05-08T10:56:08.319128
SHOP,2025-12-31,-5.71,,-1.692,,,False,,True,Low,bearish,2026-01-05,Technology,45,-31.4,-29.571,True,2026-05-08T10:56:05.226371
BRK-B,2025-12-31,-8.48,,-0.21,-0.227,-0.017,False,,True,Low,bearish,2026-01-05,Financials,21,1.065,-4.1,False,2026-05-08T10:56:06.444922
UBER,2026-03-31,-81.78,,2.889,1.572,-1.317,False,,False,Low,bearish,2026-04-02,Technology,45,2.909,,False,2026-05-08T10:56:04.795908
UBER,2025-12-31,-81.94,,-0.499,1.573,2.072,False,,True,Low,bearish,2026-01-05,Technology,45,-8.447,-11.159,True,2026-05-08T10:56:04.699483
ATAI,2025-12-31,-1441.61,,2.764,2.916,0.152,False,,True,Low,bearish,2026-01-05,Healthcare,30,-6.718,-2.067,True,2026-05-08T10:56:03.105657
